pollutant,cv_rmse,train_rmse,test_rmse,overfitting_gap,overfitting_ratio,train_test_gap,train_test_ratio,best_params,duration_s,n_features,train_size,test_size,fits_performed
CO,0.12961498795426948,0.12047167949368803,0.13078739705104578,0.0011724090967762946,1.0090453204161076,0.010315717557357745,1.085627739238899,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6720989083285057), 'learning_rate': np.float64(0.09764218701345269), 'max_depth': 11, 'min_child_samples': 26, 'min_split_gain': np.float64(0.10399988992019367), 'n_estimators': 196, 'num_leaves': 19, 'reg_alpha': np.float64(0.1607168270051236), 'reg_lambda': np.float64(1.8762571835316695), 'subsample': np.float64(0.8346276052207942)}",123,18,3562,891,2500
PM10,5.737896212167068,3.8688330889738927,5.121337842888247,-0.6165583692788212,0.8925462667011257,1.2525047539143541,1.323742256414207,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8712230558998495), 'learning_rate': np.float64(0.04021051511392997), 'max_depth': 10, 'min_child_samples': 20, 'min_split_gain': np.float64(0.4034987724089346), 'n_estimators': 291, 'num_leaves': 46, 'reg_alpha': np.float64(1.9576639266935107), 'reg_lambda': np.float64(0.8896477893531917), 'subsample': np.float64(0.6274674786640017)}",422,18,2871,718,2500
NO2,5.696575232813453,3.3755490276118594,4.955294289069395,-0.7412809437440577,0.8698725263077145,1.579745261457536,1.4679965387956986,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.5995891907774853), 'learning_rate': np.float64(0.08077797224935857), 'max_depth': 9, 'min_child_samples': 21, 'min_split_gain': np.float64(0.20231113209022272), 'n_estimators': 352, 'num_leaves': 22, 'reg_alpha': np.float64(0.3975604798763848), 'reg_lambda': np.float64(0.5645201265737972), 'subsample': np.float64(0.6125832042989989)}",878,18,3549,888,2500
O3,11.64492959239258,6.626530008089037,10.2753006032653,-1.3696289891272801,0.8823840901518173,3.6487705951762637,1.5506306604998683,"{'colsample_bytree': np.float64(0.7153402241870572), 'learning_rate': np.float64(0.03846816374573899), 'max_depth': 7, 'min_child_samples': 18, 'min_split_gain': np.float64(0.17914830868518775), 'n_estimators': 344, 'num_leaves': 30, 'reg_alpha': np.float64(0.1769113482146712), 'reg_lambda': np.float64(1.4342701572872039), 'subsample': np.float64(0.8455768798641551)}",753,18,1220,306,2500
PM25,2.9496302733533573,1.9187613502184784,2.8733113869412246,-0.07631888641213269,0.9741259482242268,0.9545500367227462,1.49748241833934,"{'colsample_bytree': np.float64(0.7538749929949733), 'learning_rate': np.float64(0.039486423577629715), 'max_depth': 7, 'min_child_samples': 18, 'min_split_gain': np.float64(0.15139653702950862), 'n_estimators': 342, 'num_leaves': 28, 'reg_alpha': np.float64(0.25444187015030484), 'reg_lambda': np.float64(1.1537042326056044), 'subsample': np.float64(0.817969885893065)}",724,18,1642,411,2500
