pollutant,cv_rmse,train_rmse,test_rmse,overfitting_gap,overfitting_ratio,train_test_gap,train_test_ratio,best_params,duration_s,n_features,train_size,test_size,fits_performed
NO2,6.047777116637216,4.2514014722544875,5.410732873379285,-0.6370442432579315,0.8946647287140517,1.1593314011247973,1.2726939360328189,"{'colsample_bytree': np.float64(0.7153402241870572), 'learning_rate': np.float64(0.03846816374573899), 'max_depth': 7, 'min_child_samples': 18, 'min_split_gain': np.float64(0.17914830868518775), 'n_estimators': 344, 'num_leaves': 30, 'reg_alpha': np.float64(0.1769113482146712), 'reg_lambda': np.float64(1.4342701572872039), 'subsample': np.float64(0.8455768798641551)}",942,18,3549,888,2500
O3,11.64492959239258,6.626530008089037,10.2753006032653,-1.3696289891272801,0.8823840901518173,3.6487705951762637,1.5506306604998683,"{'colsample_bytree': np.float64(0.7153402241870572), 'learning_rate': np.float64(0.03846816374573899), 'max_depth': 7, 'min_child_samples': 18, 'min_split_gain': np.float64(0.17914830868518775), 'n_estimators': 344, 'num_leaves': 30, 'reg_alpha': np.float64(0.1769113482146712), 'reg_lambda': np.float64(1.4342701572872039), 'subsample': np.float64(0.8455768798641551)}",753,18,1220,306,2500
PM25,2.9496302733533573,1.9187613502184784,2.8733113869412246,-0.07631888641213269,0.9741259482242268,0.9545500367227462,1.49748241833934,"{'colsample_bytree': np.float64(0.7538749929949733), 'learning_rate': np.float64(0.039486423577629715), 'max_depth': 7, 'min_child_samples': 18, 'min_split_gain': np.float64(0.15139653702950862), 'n_estimators': 342, 'num_leaves': 28, 'reg_alpha': np.float64(0.25444187015030484), 'reg_lambda': np.float64(1.1537042326056044), 'subsample': np.float64(0.817969885893065)}",724,18,1642,411,2500
