pollutant,cv_rmse,train_rmse,test_rmse,overfitting_gap,overfitting_ratio,train_test_gap,train_test_ratio,best_params,duration_s,n_features,train_size,test_size,fits_performed
CO,0.12961498795426948,0.12047167949368803,0.13078739705104578,0.0011724090967762946,1.0090453204161076,0.010315717557357745,1.085627739238899,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6720989083285057), 'learning_rate': np.float64(0.09764218701345269), 'max_depth': 11, 'min_child_samples': 26, 'min_split_gain': np.float64(0.10399988992019367), 'n_estimators': 196, 'num_leaves': 19, 'reg_alpha': np.float64(0.1607168270051236), 'reg_lambda': np.float64(1.8762571835316695), 'subsample': np.float64(0.8346276052207942)}",123,18,3562,891,2500
NO2,5.136194314254743,1.8003591354031276,4.362724497734416,-0.7734698165203264,0.84940799175497,2.5623653623312888,2.4232523455702277,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7957568677109428), 'learning_rate': np.float64(0.08324847987611043), 'max_depth': 10, 'min_child_samples': 15, 'min_split_gain': np.float64(0.4277026653429471), 'n_estimators': 477, 'num_leaves': 44, 'reg_alpha': np.float64(1.006740077810617), 'reg_lambda': np.float64(0.7402919876779501), 'subsample': np.float64(0.7535732376645586)}",511,18,3549,888,2500
O3,10.162239038863984,2.359560390401741,8.119624522784374,-2.0426145160796096,0.7989995602083427,5.760064132382633,3.4411598685134392,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7957568677109428), 'learning_rate': np.float64(0.08324847987611043), 'max_depth': 10, 'min_child_samples': 15, 'min_split_gain': np.float64(0.4277026653429471), 'n_estimators': 477, 'num_leaves': 44, 'reg_alpha': np.float64(1.006740077810617), 'reg_lambda': np.float64(0.7402919876779501), 'subsample': np.float64(0.7535732376645586)}",246,18,1220,306,2500
PM10,5.737896212167068,3.8688330889738927,5.121337842888247,-0.6165583692788212,0.8925462667011257,1.2525047539143541,1.323742256414207,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8712230558998495), 'learning_rate': np.float64(0.04021051511392997), 'max_depth': 10, 'min_child_samples': 20, 'min_split_gain': np.float64(0.4034987724089346), 'n_estimators': 291, 'num_leaves': 46, 'reg_alpha': np.float64(1.9576639266935107), 'reg_lambda': np.float64(0.8896477893531917), 'subsample': np.float64(0.6274674786640017)}",422,18,2871,718,2500
PM25,2.843120547191839,1.1753724089290727,2.8740436895274932,0.030923142335654408,1.0108764794958123,1.6986712805984205,2.445219632257784,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.5680550183286204), 'learning_rate': np.float64(0.08243656545617696), 'max_depth': 8, 'min_child_samples': 15, 'min_split_gain': np.float64(0.22456361842334724), 'n_estimators': 409, 'num_leaves': 29, 'reg_alpha': np.float64(0.7723046401857383), 'reg_lambda': np.float64(0.7592092426413508), 'subsample': np.float64(0.875029234628095)}",300,18,1642,411,2500
