pollutant,cv_rmse,train_rmse,test_rmse,overfitting_gap,overfitting_ratio,train_test_gap,train_test_ratio,best_params,duration_s,n_features,train_size,test_size,fits_performed
CO,0.1297463312560332,0.12076656613667962,0.1311716926574596,0.001425361401426406,1.0109857549545174,0.010405126520779975,1.0861589995777787,"{'colsample_bytree': np.float64(0.7586050344903681), 'learning_rate': np.float64(0.05388976351212269), 'max_depth': 9, 'min_child_samples': 21, 'min_split_gain': np.float64(0.10436889195775803), 'n_estimators': 365, 'num_leaves': 27, 'reg_alpha': np.float64(0.4909221048451812), 'reg_lambda': np.float64(0.6184245761216058), 'subsample': np.float64(0.6547456429235139)}",115,18,3562,891,2500
NO2,5.616947296161595,3.127081607995116,4.861369160468587,-0.7555781356930087,0.8654824238409106,1.7342875524734707,1.5546025879335412,"{'colsample_bytree': np.float64(0.7115664960555884), 'learning_rate': np.float64(0.0737330042571289), 'max_depth': 10, 'min_child_samples': 21, 'min_split_gain': np.float64(0.22065076871789183), 'n_estimators': 367, 'num_leaves': 27, 'reg_alpha': np.float64(0.21700692370765284), 'reg_lambda': np.float64(1.643634130845077), 'subsample': np.float64(0.825818271175628)}",536,18,3549,888,2500
O3,10.835696829310217,4.141162353314388,8.960416933515528,-1.875279895794689,0.8269349977823193,4.81925458020114,2.163744419811032,"{'colsample_bytree': np.float64(0.7115664960555884), 'learning_rate': np.float64(0.0737330042571289), 'max_depth': 10, 'min_child_samples': 21, 'min_split_gain': np.float64(0.22065076871789183), 'n_estimators': 367, 'num_leaves': 27, 'reg_alpha': np.float64(0.21700692370765284), 'reg_lambda': np.float64(1.643634130845077), 'subsample': np.float64(0.825818271175628)}",279,18,1220,306,2500
PM10,5.725236644482981,4.097865591507426,5.119735151791154,-0.6055014926918272,0.8942399187507284,1.0218695602837284,1.2493662950784648,"{'colsample_bytree': np.float64(0.7763390791554261), 'learning_rate': np.float64(0.06596964499486463), 'max_depth': 8, 'min_child_samples': 35, 'min_split_gain': np.float64(0.2254505959267683), 'n_estimators': 346, 'num_leaves': 19, 'reg_alpha': np.float64(1.0724527787871894), 'reg_lambda': np.float64(1.4603772915760023), 'subsample': np.float64(0.8821106041445141)}",449,18,2871,718,2500
PM25,2.8748299948630787,1.4146347116846905,2.8706456983378663,-0.00418429652521235,0.9985445064464024,1.4560109866531759,2.029248734409472,"{'colsample_bytree': np.float64(0.7115664960555884), 'learning_rate': np.float64(0.0737330042571289), 'max_depth': 10, 'min_child_samples': 21, 'min_split_gain': np.float64(0.22065076871789183), 'n_estimators': 367, 'num_leaves': 27, 'reg_alpha': np.float64(0.21700692370765284), 'reg_lambda': np.float64(1.643634130845077), 'subsample': np.float64(0.825818271175628)}",341,18,1642,411,2500
