pollutant,block,cv_rmse,test_rmse,overfitting_gap,overfitting_ratio,best_params,duration_s,n_features,train_size,test_size,fits_performed
NO2,block_5,5.2394676614323545,4.356325878602491,-0.8831417828298633,0.8314443680355817,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.9460081007915934), 'learning_rate': np.float64(0.13437203610507123), 'max_depth': 27, 'min_child_samples': 14, 'min_split_gain': np.float64(0.13652498710837369), 'n_estimators': 590, 'num_leaves': 59, 'reg_alpha': np.float64(1.341056080137891), 'reg_lambda': np.float64(1.1861310365961137), 'subsample': np.float64(0.8686616389688537)}",362,21,3549,888,1000
NO2,block_6,5.234680476940161,4.40602964317004,-0.828650833770121,0.8416998253435911,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6603922933118583), 'learning_rate': np.float64(0.1241203684458634), 'max_depth': 28, 'min_child_samples': 2, 'min_split_gain': np.float64(0.11688434630205297), 'n_estimators': 583, 'num_leaves': 54, 'reg_alpha': np.float64(0.7821982462135249), 'reg_lambda': np.float64(0.6411293079903204), 'subsample': np.float64(0.9261907716022505)}",326,18,3549,888,1000
NO2,block_7,4.99345448173751,4.274713252913598,-0.7187412288239123,0.8560633262098304,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7668409672427432), 'learning_rate': np.float64(0.13009894871938596), 'max_depth': 43, 'min_child_samples': 28, 'min_split_gain': np.float64(0.08893237397567427), 'n_estimators': 591, 'num_leaves': 63, 'reg_alpha': np.float64(1.9147898526533376), 'reg_lambda': np.float64(1.9189412136995643), 'subsample': np.float64(0.6151450350881722)}",495,30,3549,888,1000
NO2,block_8,5.013322856230269,4.194022644012172,-0.8193002122180975,0.8365754140091101,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6603922933118583), 'learning_rate': np.float64(0.1241203684458634), 'max_depth': 28, 'min_child_samples': 2, 'min_split_gain': np.float64(0.11688434630205297), 'n_estimators': 583, 'num_leaves': 54, 'reg_alpha': np.float64(0.7821982462135249), 'reg_lambda': np.float64(0.6411293079903204), 'subsample': np.float64(0.9261907716022505)}",465,27,3549,888,1000
O3,block_1,10.44650999157251,8.421504821817017,-2.0250051697554934,0.8061548621128855,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7293916787956302), 'learning_rate': np.float64(0.10111628402718303), 'max_depth': 18, 'min_child_samples': 5, 'min_split_gain': np.float64(0.036734726010191954), 'n_estimators': 367, 'num_leaves': 45, 'reg_alpha': np.float64(1.280009352835624), 'reg_lambda': np.float64(1.4353027403163245), 'subsample': np.float64(0.7536681561667099)}",134,9,1220,306,1000
O3,block_2,10.446194235206221,8.079779303146518,-2.366414932059703,0.7734663094733287,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6603922933118583), 'learning_rate': np.float64(0.1241203684458634), 'max_depth': 28, 'min_child_samples': 2, 'min_split_gain': np.float64(0.11688434630205297), 'n_estimators': 583, 'num_leaves': 54, 'reg_alpha': np.float64(0.7821982462135249), 'reg_lambda': np.float64(0.6411293079903204), 'subsample': np.float64(0.9261907716022505)}",144,12,1220,306,1000
O3,block_3,9.816597405089544,8.037650959271794,-1.7789464458177502,0.8187817659818226,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7293916787956302), 'learning_rate': np.float64(0.10111628402718303), 'max_depth': 18, 'min_child_samples': 5, 'min_split_gain': np.float64(0.036734726010191954), 'n_estimators': 367, 'num_leaves': 45, 'reg_alpha': np.float64(1.280009352835624), 'reg_lambda': np.float64(1.4353027403163245), 'subsample': np.float64(0.7536681561667099)}",224,21,1220,306,1000
O3,block_4,9.85874900501113,7.80862220246008,-2.05012680255105,0.7920500053800958,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7293916787956302), 'learning_rate': np.float64(0.10111628402718303), 'max_depth': 18, 'min_child_samples': 5, 'min_split_gain': np.float64(0.036734726010191954), 'n_estimators': 367, 'num_leaves': 45, 'reg_alpha': np.float64(1.280009352835624), 'reg_lambda': np.float64(1.4353027403163245), 'subsample': np.float64(0.7536681561667099)}",210,18,1220,306,1000
O3,block_5,10.34619487862491,8.083260225380684,-2.2629346532442263,0.7812785589492987,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7293916787956302), 'learning_rate': np.float64(0.10111628402718303), 'max_depth': 18, 'min_child_samples': 5, 'min_split_gain': np.float64(0.036734726010191954), 'n_estimators': 367, 'num_leaves': 45, 'reg_alpha': np.float64(1.280009352835624), 'reg_lambda': np.float64(1.4353027403163245), 'subsample': np.float64(0.7536681561667099)}",227,21,1220,306,1000
O3,block_6,10.310254132750098,7.998911629609254,-2.3113425031408434,0.7758209959346241,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7293916787956302), 'learning_rate': np.float64(0.10111628402718303), 'max_depth': 18, 'min_child_samples': 5, 'min_split_gain': np.float64(0.036734726010191954), 'n_estimators': 367, 'num_leaves': 45, 'reg_alpha': np.float64(1.280009352835624), 'reg_lambda': np.float64(1.4353027403163245), 'subsample': np.float64(0.7536681561667099)}",214,18,1220,306,1000
O3,block_7,9.75194045372017,7.942312689026482,-1.8096277646936878,0.8144340838337102,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7293916787956302), 'learning_rate': np.float64(0.10111628402718303), 'max_depth': 18, 'min_child_samples': 5, 'min_split_gain': np.float64(0.036734726010191954), 'n_estimators': 367, 'num_leaves': 45, 'reg_alpha': np.float64(1.280009352835624), 'reg_lambda': np.float64(1.4353027403163245), 'subsample': np.float64(0.7536681561667099)}",307,30,1220,306,1000
O3,block_8,9.705491385992062,7.934822875767268,-1.7706685102247937,0.8175601378843734,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7293916787956302), 'learning_rate': np.float64(0.10111628402718303), 'max_depth': 18, 'min_child_samples': 5, 'min_split_gain': np.float64(0.036734726010191954), 'n_estimators': 367, 'num_leaves': 45, 'reg_alpha': np.float64(1.280009352835624), 'reg_lambda': np.float64(1.4353027403163245), 'subsample': np.float64(0.7536681561667099)}",295,27,1220,306,1000
PM10,block_1,5.813874440368503,5.235403126478306,-0.5784713138901969,0.9005015812048511,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7867520091053225), 'learning_rate': np.float64(0.06177580767328225), 'max_depth': 44, 'min_child_samples': 12, 'min_split_gain': np.float64(0.2962559343828984), 'n_estimators': 233, 'num_leaves': 59, 'reg_alpha': np.float64(1.8326111069367015), 'reg_lambda': np.float64(1.8192710499031142), 'subsample': np.float64(0.7028473175128784)}",185,9,2871,718,1000
PM10,block_2,5.784025426137299,5.19890483336856,-0.5851205927687397,0.8988385164898045,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7310277776449301), 'learning_rate': np.float64(0.020123401460131342), 'max_depth': 39, 'min_child_samples': 10, 'min_split_gain': np.float64(0.2299783655371292), 'n_estimators': 484, 'num_leaves': 41, 'reg_alpha': np.float64(0.5077772418854793), 'reg_lambda': np.float64(1.1827743645350337), 'subsample': np.float64(0.7715180641395191)}",209,12,2871,718,1000
PM10,block_3,5.692026383929436,5.239941554105071,-0.45208482982436493,0.9205757669885795,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6437344270340956), 'learning_rate': np.float64(0.0319049118982343), 'max_depth': 20, 'min_child_samples': 5, 'min_split_gain': np.float64(0.10782514045139557), 'n_estimators': 600, 'num_leaves': 16, 'reg_alpha': np.float64(0.9243050257104568), 'reg_lambda': np.float64(0.2645345489134614), 'subsample': np.float64(0.905696643501771)}",333,21,2871,718,1000
PM10,block_4,5.717462312982907,5.150512484744247,-0.56694982823866,0.9008389041845959,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6274016295247835), 'learning_rate': np.float64(0.0629721486324973), 'max_depth': 44, 'min_child_samples': 8, 'min_split_gain': np.float64(0.09796597324949607), 'n_estimators': 175, 'num_leaves': 54, 'reg_alpha': np.float64(1.739952360543215), 'reg_lambda': np.float64(0.17637729114302014), 'subsample': np.float64(0.8734841343286551)}",308,18,2871,718,1000
