pollutant,cv_rmse,train_rmse,test_rmse,overfitting_gap,overfitting_ratio,train_test_gap,train_test_ratio,best_params,duration_s,n_features,train_size,test_size,fits_performed
CO,0.1298374403029825,0.12023131569577493,0.13006755538176962,0.00023011507878711868,1.0017723322198138,0.009836239685994688,1.0818109627185952,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.657300152571987), 'learning_rate': np.float64(0.02627763723784688), 'max_depth': 7, 'min_child_samples': 21, 'min_split_gain': np.float64(0.10286659259572326), 'n_estimators': 358, 'num_leaves': 26, 'reg_alpha': np.float64(0.3692888807124471), 'reg_lambda': np.float64(0.9814004591490364), 'subsample': np.float64(0.7851408217380462)}",167,18,3562,891,2500
NO2,5.696575232813453,3.3755490276118594,4.955294289069395,-0.7412809437440577,0.8698725263077145,1.579745261457536,1.4679965387956986,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.5995891907774853), 'learning_rate': np.float64(0.08077797224935857), 'max_depth': 9, 'min_child_samples': 21, 'min_split_gain': np.float64(0.20231113209022272), 'n_estimators': 352, 'num_leaves': 22, 'reg_alpha': np.float64(0.3975604798763848), 'reg_lambda': np.float64(0.5645201265737972), 'subsample': np.float64(0.6125832042989989)}",878,18,3549,888,2500
O3,10.820553076182552,4.39549283958166,9.205343446656826,-1.6152096295257259,0.8507276274924419,4.809850607075166,2.0942687845518004,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.5995891907774853), 'learning_rate': np.float64(0.08077797224935857), 'max_depth': 9, 'min_child_samples': 21, 'min_split_gain': np.float64(0.20231113209022272), 'n_estimators': 352, 'num_leaves': 22, 'reg_alpha': np.float64(0.3975604798763848), 'reg_lambda': np.float64(0.5645201265737972), 'subsample': np.float64(0.6125832042989989)}",468,18,1220,306,2500
PM10,5.729486939014093,4.024401672466294,5.149743259167973,-0.5797436798461195,0.8988140323877098,1.125341586701679,1.2796295395663202,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6219003851546994), 'learning_rate': np.float64(0.04714610254292191), 'max_depth': 8, 'min_child_samples': 22, 'min_split_gain': np.float64(0.1714891268398659), 'n_estimators': 340, 'num_leaves': 25, 'reg_alpha': np.float64(0.5356651828840651), 'reg_lambda': np.float64(0.8234791969890753), 'subsample': np.float64(0.7214883787029107)}",709,18,2871,718,2500
PM25,2.8745792842720403,1.4833938490359169,2.8758574073572665,0.0012781230852261238,1.0004446296166605,1.3924635583213496,1.9387011812313606,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.5995891907774853), 'learning_rate': np.float64(0.08077797224935857), 'max_depth': 9, 'min_child_samples': 21, 'min_split_gain': np.float64(0.20231113209022272), 'n_estimators': 352, 'num_leaves': 22, 'reg_alpha': np.float64(0.3975604798763848), 'reg_lambda': np.float64(0.5645201265737972), 'subsample': np.float64(0.6125832042989989)}",615,18,1642,411,2500
